name_type,table_name,target_count
nearest_title,(1) 各主要業務之收入如下:,1
nearest_title,(1) 報告分部的財務信息,1
nearest_title,"(1) 本報告期內,主營業務分行業、分地區、分銷售模式情況",1
nearest_title,(1) 經營分部(續),1
nearest_title,(1). 主營業務分行業、分產品、分地區、分銷售模式情況,1
nearest_title,(2) 主營業務(分產品),1
nearest_title,(2) 主營業務(分行業),1
nearest_title,(2) 營業收入、營業成本按產品所屬領域劃分,1
nearest_title,(2) 營業收入和營業成本的分解,1
nearest_title,(2) 與客户之間的合同產生的收入按商品或服務類型分解,1
nearest_title,(3) 收入及分部報告(續),1
nearest_title,(3a) 收入及分部資料,1
nearest_title,(4) 營業收入、營業成本按商品轉讓時間劃分,1
nearest_title,(5) 分部分析,1
nearest_title,(a) 2025年度及2025年12月31日分部信息列示如下:,1
nearest_title,(a) 來自客户合約的收入分拆,1
nearest_title,(a) 分列收入資料,1
nearest_title,(a) 分列收益資料,1
nearest_title,(a) 分拆來自客户合約之收益,1
nearest_title,(a) 分部收入及業績,1
nearest_title,(a) 分部收入及業績之分析,1
nearest_title,(a) 分部收益,1
nearest_title,(a) 分部收益及業績,1
nearest_title,(a) 分部收益資料,1
nearest_title,(a) 分部業績(續),1
nearest_title,(a) 分部業績以及資產及負債,1
nearest_title,(a) 分類收入及業績(續),1
nearest_title,(a) 分類收益的資料,1
nearest_title,(a) 可呈報分部,1
nearest_title,(a) 可呈報分部損益、資產及負債的資料概述如下:,1
nearest_title,(a) 可呈報分部收益及業績,1
nearest_title,(a) 可申報營運分部,1
nearest_title,(a) 可申報營運分部(續),1
nearest_title,(a) 向執行董事提供的有關可呈報分部於截至2025年12月31日止年度的分部資料如下:,1
nearest_title,(a) 報告期内的收入,1
nearest_title,(a) 客户合約收入之明細,1
nearest_title,(a) 客户合約收入分析如下:,1
nearest_title,(a) 客户合約收入分類,1
nearest_title,(a) 客户合約收益分拆,1
nearest_title,"(a) 截至二零二五年及二零二四年十二月三十一日止年度,本集團來自其主要產品之收入載列如下:",1
nearest_title,"(a) 截至二零二四年及二零二三年十二月三十一日止年度,本集團來自其主要產品之收入載列如下:",1
nearest_title,(a) 按業務分部劃分,1
nearest_title,(a) 按業務線及性質劃分的收入,1
nearest_title,(a) 按產品劃分的收益,1
nearest_title,(a) 提供予主要經營決策者的分部資料如下:,1
nearest_title,(a) 收入:,1
nearest_title,(a) 收入分析,1
nearest_title,(a) 收入劃分,1
nearest_title,(a) 收入明細信息,1
nearest_title,(a) 收入資料分類,1
nearest_title,(a) 收入資料劃分,1
nearest_title,(a) 收入資料明細,1
nearest_title,(a) 收入資料細分,1
nearest_title,(a) 收益,1
nearest_title,(a) 收益分拆,1
nearest_title,(a) 收益的細分資料,1
nearest_title,(a) 收益資料劃分,1
nearest_title,(a) 收益資料明細,1
nearest_title,(a) 收益資料細分,1
nearest_title,(a) 數碼存儲產品;及,1
nearest_title,(a) 有關須報告分部收入、除所得稅前溢利或虧損之資料及其他資料,1
nearest_title,(a) 本年度按主要服務類別分類的客户合約收益如下:,1
nearest_title,(a) 本集團按經營分類劃分之收益及業績分析,1
nearest_title,(a) 與客户簽訂合同的收益分類,1
nearest_title,(a) 香港財務報告準則第15號範圍內來自客户合約的收入確認如下:,1
nearest_title,(b) 客户合同收入,1
nearest_title,(d) 收入分拆,1
nearest_title,(e) 分部資料,1
nearest_title,(i) 下文概述本集團可呈報分部:,1
nearest_title,(i) 來自客户合約之收益分類,1
nearest_title,(i) 來自客户合約之收益的分解,1
nearest_title,(i) 來自客户合約之營業額分拆如下,1
nearest_title,(i) 來自客户合約的營業收入分類,1
nearest_title,(i) 分拆來自客户合約的收入,1
nearest_title,(i) 分解收入資料,1
nearest_title,"(i) 分部收入及業績,以及分部資產及負債",1
nearest_title,(i) 分部業績、資產及負債,1
nearest_title,(i) 分部資料:,1
nearest_title,(i) 分開計算來自客户合約之收入:,1
nearest_title,(i) 分類收益資料,1
nearest_title,(i) 客户合約收入分拆,1
nearest_title,(i) 客户合約收入分類,1
nearest_title,(i) 客户合約收入劃分,1
nearest_title,(i) 客户合約收入明細,1
nearest_title,(i) 客户合約收益劃分,1
nearest_title,(i) 按主要產品類別分拆客户合約收益,1
nearest_title,(i) 收入分拆,1
nearest_title,(i) 收入明細,1
nearest_title,(i) 收入明細如下:,1
nearest_title,(i) 收入資料劃分,1
nearest_title,(i) 收入載列如下:,1
nearest_title,(i) 收益分拆資料,1
nearest_title,(i) 本集團來自客户合約的收入分類,1
nearest_title,(i) 本集團按主要產品及業務類別劃分的轉移商品及服務所得收入,1
nearest_title,(i) 本集團按主要產品線及業務分類自轉讓貨品及服務產生的收益,1
nearest_title,(i) 本集團按主要產品線及業務類別劃分的來自貨品及服務轉撥的收益,1
nearest_title,(i) 經分拆收入資料,1
nearest_title,(i) 與客户合約的收入按主要服務項目劃分的分類,1
nearest_title,"(ii) 供應鏈綜合服務收益同比減少37.55%,主要由於煤炭市場的下行和貿易招標模式的推行,導致蒙古國相關運輸價格下跌至歷史最低水平,中蒙口岸跨境運量因此亦有所下降。",1
nearest_title,(ii) 本集團按收益確認時間劃分自轉讓貨品及服務產生的收益,1
nearest_title,"(ii) 本集團按收益確認的時間自轉讓貨品及服務產生收益
根據確認的時間分類的收益如下:",1
